cm_artist_id,name,cm_artist_rank,cm_artist_score,hometown_city,current_city,booking_agent,record_label,press_contact,general_manager,primary_genre,secondary_genres,image_url,cover_url
240495,Len Faki,72224,60.7872352801772,Berlin,Berlin,Michael.weicker@metropole-talent.com,Figure,chris@listen-up.biz,Michael.weicker@metropole-talent.com,acidcore,"house, dance, electronic, acid, lofi, dub techno, hardstyle, minimal techno, european ambient, european dance, european easy listening, european electronic, european hip-hop/rap, european psychedelic",https://i.scdn.co/image/ab6761610000e5eb9eec69c401f621774d39fefc,https://i.scdn.co/image/ab67616d0000b2737174ae59bd82903069b53ef4
482964,Colin Benders,201278,42.83541162250209,,Utrecht,,Hiss & Hertz Records,,,house,"dance, electronic, acidcore, instrumental, hardgroove, ambient, organic house, european ambient, european dance, european electronic, european instrumental",https://i.scdn.co/image/ab6761610000e5ebf98c62b76a6c49e7ca8dea34,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9f/e8/2b/9fe82bac-5ba6-ed0a-b4b3-6784a3324da7/coverart.jpg/160x160bb.jpg
4099269,Beste Hira,557829,20.53954429329468,,,,Amotik,,,acidcore,"hardgroove, dance, electronic, trance, house, dub techno, european dance, european electronic, european psychedelic",https://i.scdn.co/image/ab67616d0000b273cf55e7b8d89267508197227b,https://i.scdn.co/image/ab67616d0000b2734f4def732e0bf2d1343e3eef
5572,Dom Dolla,3177,87.65350969280401,Melbourne,,"Ben Shprits and Dave Blackgrove, Wasserman",Three Six Zero Recordings,,,tech house,"house, soulful house, electro house, vocal house, minimal, funky house, latin house, electropop, fidget house, australian ambient, australian dance, australian easy listening, australian electronic, australian hip-hop/rap, australian pop, australian r&b/soul, australian rock",https://i.scdn.co/image/ab6761610000e5eb9290e172cbcacc0521b02b11,https://i.scdn.co/image/ab6742d3000052b75b2b3fffaa0414a26d500251
1392496,MoodyMan,2506527,0.8004700315500712,,,,Lumix records,,,house,tech house,https://i.scdn.co/image/ab67616d0000b273634a0c8c9eb860478a4d8bcb,https://api.deezer.com/album/681072311/image
211372,Young Marco,73625,60.50687541081133,,Amsterdam,,DEKMANTEL,,,house,"instrumental, ambient, electronic, uk ambient, uk dance, uk electronic, uk instrumental",https://i.scdn.co/image/ab6761610000e5ebde398b9a187c0d1dfc8a8f40,https://i.scdn.co/image/ab67616d0000b2733a2c78329c2830e448a63ff1
14023591,Job Joseph,2310355,1.096478836780579,,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebdde0d9eb5503977adc82303a,https://i.scdn.co/image/ab67616d0000b2737f1ee5d889c61ec3440278ee
656450,Indira Paganotto,38693,68.8407881325557,,Madrid,,[PIAS] Électronique,,,acidcore,"techno, deep techno, minimal, acid, hard trance, industrial techno, hard techno, uk ambient, uk dance, uk easy listening, uk electronic, uk hip-hop/rap, uk industrial, uk psychedelic, uk rock",https://i.scdn.co/image/ab6761610000e5ebe496d94a1adc856c8a4b9114,https://i.scdn.co/image/ab67616d0000b27390c2c087542dfad43576eb1f
212455,Loco Dice,45794,66.85699837608882,,Düsseldorf,"Cody Chapman, Ben Shprits and Dave Blackgrove, Wasserman",UMG,,,house,"tech house, european electronic, minimal techno, german ambient, german dance, german easy listening, german electronic, german hip-hop/rap",https://i.scdn.co/image/ab6761610000e5ebe7ddcc2ca4285d89e0c97c68,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/59/bb/08/59bb0860-008c-4441-9d0b-3860c1a7c1f4/c40125b4-1147-44bb-b258-f7b28cded371.png/160x160bb.jpg
211347,Maceo Plex,17171,76.92803973270777,Miami,Barcelona,,Lone Romantic,,,house,"minimal, deep techno, melodic house, progressive house, melodic, minimal techno, tech house, soulful house, melodic techno, us ambient, us dance, us easy listening, us electronic, us hip-hop/rap, us r&b/soul",https://i.scdn.co/image/ab6761610000e5eb29bba14d1313c8a3f5818552,https://i.scdn.co/image/ab67616d0000b2736f267315c62a8cb9bcd842c4
